City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Tevaitoa,PF,-16.7833,-151.5,80.2,72,16,10.25,light rain
81,Kruisfontein,ZA,-34.0033,24.7314,54.88,85,8,5.59,clear sky
82,Cape Town,ZA,-33.9258,18.4232,58.12,79,0,2.3,clear sky
83,Touros,BR,-5.1989,-35.4608,82.67,71,33,13.47,scattered clouds
84,San Patricio,US,28.017,-97.5169,98.17,48,0,19.71,clear sky
85,Kismayo,SO,-0.3582,42.5454,79.63,82,100,13.15,overcast clouds
86,Clyde River,CA,70.4692,-68.5914,23.23,86,100,6.91,overcast clouds
87,Khuzdar,PK,27.7384,66.6434,80.2,7,0,7.61,clear sky
88,East London,ZA,-33.0153,27.9116,59.94,88,0,6.91,clear sky
89,Mandalgovi,MN,45.7625,106.2708,58.24,55,90,10.65,overcast clouds
90,Malmesbury,ZA,-33.4608,18.7271,50.77,87,9,3.91,clear sky
91,Norman Wells,CA,65.282,-126.8329,42.84,87,100,19.57,overcast clouds
92,Atuona,PF,-9.8,-139.0333,77.67,76,14,11.03,few clouds
93,Castro,BR,-24.7911,-50.0119,63.66,47,8,3.91,clear sky
94,Suntar,RU,62.1444,117.6319,45.37,84,72,3.96,broken clouds
95,Mount Gambier,AU,-37.8333,140.7667,44.62,93,6,4.97,clear sky
96,Ribeira Grande,PT,38.5167,-28.7,64.8,100,100,6.91,drizzle
97,Qaanaaq,GL,77.484,-69.3632,19.87,80,100,2.89,overcast clouds
98,Grand Gaube,MU,-20.0064,57.6608,75.6,75,0,4.0,clear sky
99,Kibara,TZ,-2.15,33.45,73.51,69,100,5.28,overcast clouds
100,Bahia Blanca,AR,-38.7196,-62.2724,63.55,37,0,9.69,clear sky
101,Cidreira,BR,-30.1811,-50.2056,64.54,59,9,4.5,clear sky
102,Leningradskiy,RU,69.3833,178.4167,32.54,97,97,9.78,overcast clouds
103,Cayenne,GF,4.9333,-52.3333,82.09,1,75,12.66,broken clouds
104,Sarakhs,IR,36.5449,61.1577,68.29,34,100,15.84,overcast clouds
105,Bubaque,GW,11.2833,-15.8333,79.0,79,100,17.92,overcast clouds
106,Airai,TL,-8.9266,125.4092,57.47,90,23,3.62,few clouds
107,Ostrovnoy,RU,68.0531,39.5131,30.42,73,10,8.81,clear sky
108,Sao Filipe,CV,14.8961,-24.4956,72.9,79,52,13.22,broken clouds
109,Yar-Sale,RU,66.8333,70.8333,31.1,80,100,13.78,overcast clouds
110,Nuuk,GL,64.1835,-51.7216,38.08,68,30,14.34,scattered clouds
111,Katsuura,JP,35.1333,140.3,60.98,94,100,15.79,light rain
112,Popondetta,PG,-8.7537,148.2534,72.18,90,16,3.2,few clouds
113,Opuwo,NA,-18.0607,13.84,59.09,13,0,6.6,clear sky
114,Castrovillari,IT,39.8203,16.2123,61.09,86,12,6.51,few clouds
115,Kloulklubed,PW,7.0419,134.2556,83.26,76,99,7.47,overcast clouds
116,Barrow,US,71.2906,-156.7887,21.22,93,100,9.22,overcast clouds
117,Hanchuan,CN,30.65,113.7667,69.91,80,96,1.14,overcast clouds
118,Menongue,AO,-14.6585,17.691,57.45,45,64,2.89,broken clouds
119,Vila Velha,BR,-20.3297,-40.2925,76.95,57,20,14.97,few clouds
120,Sinnamary,GF,5.3833,-52.95,77.97,89,98,11.54,overcast clouds
121,Mabaruma,GY,8.2,-59.7833,83.68,62,71,7.87,broken clouds
122,Aquiraz,BR,-3.9014,-38.3911,84.29,75,21,7.02,few clouds
123,Nikolskoye,RU,59.7035,30.7861,49.89,56,5,9.84,clear sky
124,Tabory,RU,58.5198,64.5495,45.45,98,100,7.36,moderate rain
125,Weatherford,US,32.7593,-97.7972,85.05,66,91,8.01,overcast clouds
126,Bud,US,39.447,-86.1758,82.74,84,100,13.85,moderate rain
127,Soe,ID,-9.8607,124.284,64.31,93,85,3.83,overcast clouds
128,Erzin,TR,36.9559,36.2,71.26,28,5,7.54,clear sky
129,Ponta Do Sol,PT,32.6667,-17.1,70.72,79,25,1.52,scattered clouds
130,Kilindoni,TZ,-7.9139,39.6668,79.88,75,14,12.12,few clouds
131,Adolfo Lopez Mateos,MX,28.4667,-107.3,78.93,7,0,8.21,clear sky
132,Dawlatabad,AF,36.4141,64.9053,65.61,54,100,19.26,overcast clouds
133,Lufilufi,WS,-13.8745,-171.5986,74.98,77,54,14.67,light rain
134,Abay,KZ,49.6311,72.8539,59.38,61,17,8.3,few clouds
