City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Osecina,RS,2022-05-21 02:05:56,44.3731,19.6014,288.12,48,23,2.62
67,Moose Factory,CA,2022-05-21 02:05:57,51.2585,-80.6094,285.14,82,75,7.2
68,Egvekinot,RU,2022-05-21 02:02:45,66.3167,-179.1667,280.68,56,32,1.61
69,Barrow,US,2022-05-21 01:59:35,71.2906,-156.7887,273.21,99,100,2.54
70,Khatanga,RU,2022-05-21 02:03:26,71.9667,102.5,277.61,76,100,5.58
71,Provost,CA,2022-05-21 02:05:58,52.3501,-110.2683,278.67,46,100,5.05
72,Airai,TL,2022-05-21 02:00:44,-8.9266,125.4092,295.87,50,83,2.57
73,Vanavara,RU,2022-05-21 02:01:19,60.34,102.2797,290.94,46,4,1.97
74,Ferme-Neuve,CA,2022-05-21 02:05:59,46.7001,-75.4493,293.88,76,94,6.4
75,Abu Samrah,SY,2022-05-21 02:05:59,35.3029,37.1841,289.94,31,0,3.0
76,Merida,MX,2022-05-21 02:03:48,20.9667,-89.6167,305.16,51,20,7.2
77,Katsuura,JP,2022-05-21 02:06:00,35.1333,140.3,291.7,78,100,5.45
78,La Libertad,EC,2022-05-21 02:06:00,-2.2333,-80.9,295.67,84,100,3.31
79,Vilyuysk,RU,2022-05-21 02:06:01,63.7553,121.6247,286.71,38,100,0.34
80,West Wendover,US,2022-05-21 02:06:01,40.7391,-114.0733,284.96,22,64,4.39
81,Umm Lajj,SA,2022-05-21 02:02:01,25.0213,37.2685,301.0,52,0,3.59
82,Chokurdakh,RU,2022-05-21 02:06:02,70.6333,147.9167,275.1,100,85,3.18
83,Severo-Kurilsk,RU,2022-05-21 02:02:04,50.6789,156.125,279.75,86,100,6.88
84,Tasiilaq,GL,2022-05-21 02:06:02,65.6145,-37.6368,271.78,81,0,2.66
85,Kodiak,US,2022-05-21 02:06:03,57.79,-152.4072,280.26,85,100,8.88
86,Bara,NG,2022-05-21 02:06:03,10.3744,10.7288,299.85,69,98,5.04
87,Kapaa,US,2022-05-21 02:00:54,22.0752,-159.319,300.14,91,35,0.89
88,Iralaya,HN,2022-05-21 02:06:04,15.0,-83.2333,300.19,85,100,7.03
89,Dunedin,NZ,2022-05-21 02:06:04,-45.8742,170.5036,283.04,62,100,12.52
90,Shahrud,IR,2022-05-21 02:06:05,36.4182,54.9763,286.66,67,69,7.7
91,Takaka,NZ,2022-05-21 02:06:05,-40.85,172.8,289.02,57,3,5.53
92,Ulaangom,MN,2022-05-21 02:06:05,49.9811,92.0667,290.61,41,6,2.5
93,Pelym,RU,2022-05-21 02:06:06,61.0108,61.9978,274.88,95,100,1.98
94,Puerto Carreno,CO,2022-05-21 02:07:06,6.189,-67.4859,299.31,71,2,2.41
95,Great Falls,US,2022-05-21 02:07:07,47.5002,-111.3008,279.08,75,100,5.14
96,Harper,LR,2022-05-21 02:07:07,4.375,-7.7169,298.55,86,100,3.02
97,Bethel,US,2022-05-21 02:03:25,41.3712,-73.414,291.13,92,100,0.45
98,Benguela,AO,2022-05-21 02:00:33,-12.5763,13.4055,293.59,79,9,1.14
99,Tagusao,PH,2022-05-21 02:07:09,9.1924,117.8141,302.94,67,99,1.05
100,Olafsvik,IS,2022-05-21 02:07:09,64.8945,-23.7142,281.15,90,100,4.03
101,Mitoc,RO,2022-05-21 02:07:09,48.1,27.0333,289.65,66,32,1.71
102,Koslan,RU,2022-05-21 02:07:10,63.4564,48.8989,272.36,72,98,3.88
103,Vardo,NO,2022-05-21 02:07:10,70.3705,31.1107,276.14,81,100,9.77
104,Alofi,NU,2022-05-21 02:07:11,-19.0595,-169.9187,299.27,77,28,3.53
105,Souillac,MU,2022-05-21 01:59:28,-20.5167,57.5167,296.36,88,40,5.14
106,Micheweni,TZ,2022-05-21 02:07:11,-4.9667,39.8333,298.21,85,99,4.32
107,Sabha,LY,2022-05-21 02:07:12,27.0377,14.4283,291.83,36,0,7.8
108,Isangel,VU,2022-05-21 02:07:12,-19.55,169.2667,300.0,83,26,10.86
109,Port Elizabeth,ZA,2022-05-21 02:07:13,-33.918,25.5701,286.66,99,100,0.89
110,Vila Do Maio,CV,2022-05-21 02:07:13,15.1333,-23.2167,294.87,85,81,6.22
111,Cape Town,ZA,2022-05-21 01:58:53,-33.9258,18.4232,285.52,86,75,2.57
112,Bubaque,GW,2022-05-21 02:07:14,11.2833,-15.8333,298.92,79,48,5.79
113,Bluff,NZ,2022-05-21 01:59:24,-46.6,168.3333,281.43,76,98,16.01
114,Zhigansk,RU,2022-05-21 02:02:27,66.7697,123.3711,278.1,73,5,2.41
115,Eureka,US,2022-05-21 02:06:32,40.8021,-124.1637,291.86,72,0,5.81
116,Adrar,MR,2022-05-21 02:07:14,20.5022,-10.0711,303.31,9,100,3.95
117,San Jose,US,2022-05-21 02:05:08,37.3394,-121.895,297.53,30,0,4.63
118,Aksu,CN,2022-05-21 02:07:15,41.1231,80.2644,299.34,24,94,2.84
119,Kruisfontein,ZA,2022-05-21 02:07:15,-34.0033,24.7314,285.31,88,79,3.24
120,Seoul,KR,2022-05-21 02:01:17,37.5683,126.9778,295.81,50,18,3.23
121,Husavik,IS,2022-05-21 02:07:16,66.0449,-17.3389,282.25,76,67,0.55
122,Biak,ID,2022-05-21 02:07:16,-0.9131,122.8766,299.04,85,97,3.47
123,Butaritari,KI,2022-05-21 02:01:55,3.0707,172.7902,300.56,73,62,6.06
124,Araouane,ML,2022-05-21 02:07:17,18.9048,-3.5265,303.37,14,44,1.99
125,Klaksvik,FO,2022-05-21 02:06:14,62.2266,-6.589,282.66,96,100,6.02
126,Kumta,IN,2022-05-21 02:07:18,14.4167,74.4,297.06,90,100,0.59
127,Tiksi,RU,2022-05-21 02:07:18,71.6872,128.8694,273.37,89,100,2.42
128,Suluq,LY,2022-05-21 02:07:18,31.6682,20.2521,289.48,67,0,4.08
129,Sitka,US,2022-05-21 01:59:01,57.0531,-135.33,288.47,53,22,1.43
130,Nishihara,JP,2022-05-21 02:00:42,26.1842,127.7558,297.97,83,75,7.2
131,Upernavik,GL,2022-05-21 02:00:50,72.7868,-56.1549,264.86,97,72,4.09
132,Cowra,AU,2022-05-21 02:07:20,-33.8333,148.6833,290.68,56,98,5.08
133,Wschowa,PL,2022-05-21 02:07:20,51.807,16.3166,290.07,98,96,10.27
134,Bambous Virieux,MU,2022-05-21 01:59:31,-20.3428,57.7575,297.16,88,40,5.14
135,Tigil,RU,2022-05-21 02:07:21,57.8,158.6667,282.28,71,100,5.17
136,Usinsk,RU,2022-05-21 02:07:21,65.9939,57.5281,273.16,68,100,6.55
137,Disna,BY,2022-05-21 02:07:21,55.568,28.1971,284.09,99,100,0.69
138,Nikolskoye,RU,2022-05-21 01:59:25,59.7035,30.7861,278.09,77,83,2.27
139,San Cristobal,VE,2022-05-21 02:08:22,7.7669,-72.225,291.66,88,14,1.13
140,East London,ZA,2022-05-21 02:03:17,-33.0153,27.9116,289.55,70,100,3.83
141,Honningsvag,NO,2022-05-21 02:08:23,70.9821,25.9704,278.01,70,100,4.12
142,Geraldton,AU,2022-05-21 02:08:23,-28.7667,114.6,291.38,82,0,3.6
143,Mount Pleasant,US,2022-05-21 02:03:55,32.7941,-79.8626,299.87,91,100,5.66
144,Ormara,PK,2022-05-21 02:08:24,25.2088,64.6357,300.68,92,4,5.69
145,New Norfolk,AU,2022-05-21 02:02:12,-42.7826,147.0587,284.22,61,10,0.7
146,Codrington,AU,2022-05-21 02:03:24,-38.2667,141.9667,287.4,60,5,3.33
147,Half Moon Bay,US,2022-05-21 02:08:24,37.4636,-122.4286,296.37,69,0,7.2
148,Kahului,US,2022-05-21 02:06:40,20.8947,-156.47,298.55,77,48,2.78
149,Dangara,IN,2022-05-21 02:08:25,29.6799,75.8931,308.65,16,1,4.95
150,Hella,NO,2022-05-21 02:08:25,67.2,14.4333,281.42,94,75,3.6
151,Porto Novo,BJ,2022-05-21 02:08:26,6.4965,2.6036,299.24,85,100,3.26
152,Timizart,DZ,2022-05-21 02:08:26,36.8,4.2667,293.34,52,9,2.55
153,Asau,RO,2022-05-21 01:59:34,46.4333,26.4,281.66,76,7,3.12
154,Charters Towers,AU,2022-05-21 02:05:20,-20.1,146.2667,295.59,68,98,5.38
155,Maraa,BR,2022-05-21 02:08:27,-1.8333,-65.3667,294.51,98,62,0.37
156,Ancud,CL,2022-05-21 02:00:11,-41.8697,-73.8203,284.25,90,100,5.78
157,Qaanaaq,GL,2022-05-21 02:03:18,77.484,-69.3632,262.28,88,95,2.06
158,Guerrero Negro,MX,2022-05-21 02:00:44,27.9769,-114.0611,291.53,72,0,6.8
159,Karratha,AU,2022-05-21 02:08:28,-20.7377,116.8463,300.23,59,2,2.45
160,Georgetown,MY,2022-05-21 01:58:35,5.4112,100.3354,304.11,82,20,1.54
161,Bukene,TZ,2022-05-21 02:08:29,-4.2333,32.8833,289.31,76,100,2.25
162,Kharan,PK,2022-05-21 02:08:29,28.5833,65.4167,300.57,13,0,0.15
163,Esperance,AU,2022-05-21 01:59:22,-33.8667,121.9,292.68,59,14,2.7
164,Vanimo,PG,2022-05-21 02:08:30,-2.6741,141.3028,303.02,66,47,3.19
165,Moron,AR,2022-05-21 02:08:30,-34.6534,-58.6198,287.03,82,100,2.71
166,Ovre Ardal,NO,2022-05-21 02:08:31,61.3167,7.8,279.53,98,100,1.19
167,Tokur,RU,2022-05-21 02:01:59,53.1333,132.9,275.6,97,100,1.93
168,Tadine,NC,2022-05-21 02:08:31,-21.55,167.8833,296.23,91,100,10.95
169,Tiarei,PF,2022-05-21 02:08:32,-17.5333,-149.3333,302.16,72,3,2.48
170,Luderitz,NA,2022-05-21 02:08:32,-26.6481,15.1594,283.43,72,0,4.83
171,Lebu,CL,2022-05-21 02:08:33,-37.6167,-73.65,283.33,91,33,2.95
172,Ilebo,CD,2022-05-21 02:08:33,-4.3167,20.5833,295.23,99,100,0.82
173,Riyadh,SA,2022-05-21 02:08:33,24.6877,46.7219,303.15,12,0,3.32
174,Boddam,GB,2022-05-21 02:08:34,57.4667,-1.7833,283.36,89,61,4.17
175,Reforma,MX,2022-05-21 02:08:34,18.1,-91.0167,304.61,52,67,7.06
176,Bredasdorp,ZA,2022-05-21 02:00:42,-34.5322,20.0403,283.17,83,13,2.81
177,Yuci,CN,2022-05-21 02:08:35,37.6803,112.7319,295.01,37,0,2.0
178,Saint-Francois,FR,2022-05-21 02:08:35,46.4154,3.9054,290.84,82,100,2.57
179,Bilma,NE,2022-05-21 02:01:55,18.6853,12.9164,303.71,12,59,9.17
180,Praya,CV,2022-05-21 02:08:36,14.9215,-23.5087,294.44,86,43,5.56
181,Havre-Saint-Pierre,CA,2022-05-21 02:08:37,50.2334,-63.5986,280.46,69,100,5.32
182,Cacule,BR,2022-05-21 02:08:37,-14.5033,-42.2222,288.81,41,95,1.77
183,Avanigadda,IN,2022-05-21 02:08:37,16.0215,80.9181,301.89,66,100,4.84
184,Biltine,TD,2022-05-21 02:08:38,14.5333,20.9167,301.39,12,44,4.56
185,Rio Do Sul,BR,2022-05-21 02:09:38,-27.2142,-49.6431,281.14,85,0,0.32
186,San Patricio,US,2022-05-21 02:09:39,28.017,-97.5169,301.2,78,1,11.77
187,Padang,ID,2022-05-21 02:09:39,-0.9492,100.3543,300.18,70,98,0.92
188,Zaozerne,UA,2022-05-21 02:09:39,45.1582,33.2787,287.1,84,94,5.79
189,Guozhen,CN,2022-05-21 02:09:40,34.3659,107.359,298.41,45,100,0.08
190,Chuy,UY,2022-05-21 02:03:16,-33.6971,-53.4616,282.25,86,32,2.76
191,Samarai,PG,2022-05-21 02:09:41,-10.6167,150.6667,301.59,72,24,3.75
192,Longyearbyen,SJ,2022-05-21 02:00:40,78.2186,15.6401,274.06,80,75,3.6
193,Erzin,TR,2022-05-21 02:09:41,36.9559,36.2,289.62,36,0,2.23
194,Constitucion,CL,2022-05-21 02:03:16,-35.3333,-72.4167,283.99,85,3,3.56
195,Naze,JP,2022-05-21 02:09:42,28.3667,129.4833,293.71,90,100,9.53
196,Kutum,SD,2022-05-21 02:09:42,14.2,24.6667,297.46,15,1,6.32
197,Banepa,NP,2022-05-21 02:09:42,27.6298,85.5214,290.33,82,75,1.54
198,Mandalgovi,MN,2022-05-21 02:09:43,45.7625,106.2708,295.28,21,56,3.1
199,Te Anau,NZ,2022-05-21 02:06:33,-45.4167,167.7167,280.68,79,98,2.68
200,Sheridan,US,2022-05-21 02:09:31,44.8333,-106.9173,277.6,72,86,3.13
201,San Jeronimo,PE,2022-05-21 02:09:44,-11.9472,-75.2829,281.06,82,25,1.5
202,Puerto Ayora,EC,2022-05-21 02:09:44,-0.7393,-90.3518,295.68,96,4,1.79
203,Uruzgan,AF,2022-05-21 02:09:45,32.8333,66.0,290.92,34,0,1.9
204,Chernyshevskiy,RU,2022-05-21 02:09:45,63.0128,112.4714,284.45,64,100,2.52
205,Bulaevo,KZ,2022-05-21 02:09:45,54.9056,70.4439,285.37,62,74,6.75
206,Yeroham,IL,2022-05-21 02:09:46,30.9872,34.9314,295.82,25,100,2.21
207,Batemans Bay,AU,2022-05-21 02:09:46,-35.7167,150.1833,288.76,59,89,3.09
208,Cacu,BR,2022-05-21 02:09:47,-18.5567,-51.1308,284.28,55,0,0.66
209,Provideniya,RU,2022-05-21 02:09:47,64.3833,-173.3,282.44,55,84,4.05
210,Kampot,KH,2022-05-21 02:09:47,10.6167,104.1833,305.18,70,95,4.78
211,Tutoia,BR,2022-05-21 02:09:48,-2.7619,-42.2744,297.44,89,39,1.25
212,Kaitangata,NZ,2022-05-21 02:09:49,-46.2817,169.8464,280.42,84,99,9.55
